filename,lyrics,goal_label,llm_label
SadBeautifulTragic,"Long handwritten note deep in your pocket Words, how little they mean when you're a little too late I stood right by the tracks, your face in a locket Good girls, hopeful they'll be and long they will wait  We had a beautiful magic love there What a sad, beautiful, tragic love affair  In dreams, I meet you in warm conversation We both wake in lonely beds, different cities And time is taking its sweet time erasing you And you've got your demons, and darling, they all look like me 'Cause we had a beautiful magic love there What a sad, beautiful, tragic love affair  Distance, timing Breakdown, fighting Silence, the train runs off its tracks Kiss me, try to fix it Could you just try to listen? Hang up, give up And for the life of us we can't get back  A beautiful, magic love there What a sad, beautiful, tragic Beautiful, tragic, beautiful  What we had, a beautiful magic love there What a sad, beautiful, tragic, love affair We had a beautiful magic love there What a sad, beautiful, tragic love affairYou might also like",broken up,broken up
Starlight,"I said, ""Oh, my, what a marvelous tune"" It was the best night, never would forget how he moved The whole place was dressed to the nines And we were dancing, dancing Like we're made of starlight Like we're made of starlight  I met Bobby on the boardwalk, summer of '45 Picked me up, late one night out the window We were 17 and crazy, running wild, wild Can't remember what song it was playing when we walked in The night we snuck into a yacht club party Pretending to be a duchess and a prince And I said, ""Oh, my, what a marvelous tune"" It was the best night, never would forget how he moved The whole place was dressed to the nines And we were dancing, dancing Like we're made of starlight, starlight Like we're made of starlight, starlight  He said, “Look at you, worrying too much about things you can't change You'll spend your whole life singing the blues if you keep thinking that way"" He was trying to skip rocks on the ocean, saying to me ""Don't you see the starlight, starlight? Don't you dream impossible things?""  Like, ""Oh, my, what a marvelous tune"" It was the best night, never would forget how he moved The whole place was dressed to the nines And we were dancing, dancing Like we're made of starlight, starlight Like we're made of starlight, starlight  Ooh-ooh, he's talking crazy Ooh-ooh, dancing with me Ooh-ooh, we could get married Have ten kids and teach 'em how to dream  Oh, my, what a marvelous tune It was the best night, never would forget how he moved The whole place was dressed to the nines And we were dancing, dancing Like we're made of starlight, starlight Like we're made of starlight, starlight  Like we're made of starlight, starlight Like we dream impossible dreams Like starlight, starlight Like we dream impossible dreams  Don't you see the starlight, starlight? Don't you dream impossible things?",happily in love,happily in love
StateofGrace,"I'm walking fast through the traffic lights Busy streets and busy lives And all we know is touch and go We are alone with our changing minds We fall in love 'til it hurts or bleeds Or fades in time  And I never (Never) Saw you coming And I’ll never (Never) Be the same You come around and the armor falls Pierce the room like a cannonball Now, all we know is don’t let go We are alone, just you and me Up in your room and our slates are clean Just twin fire signs, four blue eyes  So you were never a saint And I've loved in shades of wrong We learn to live with the pain Mosaic broken hearts But this love is brave and wild  And I never (Never) Saw you coming And I’ll never (Never) Be the same  This is a state of grace This is the worthwhile fight Love is a ruthless game Unless you play it good and right These are the hands of fate You’re my Achilles heel This is the golden age Of something good and right and real And I never (Never) Saw you coming And I’ll never Be the same  And I never (Never) Saw you coming And I’ll never (So you were never a saint) (And I've loved in shades of wrong) Be the same (We learn to live with the pain) (Mosaic broken hearts) (But this love is brave and wild)  This is a state of grace This is the worthwhile fight Love is a ruthless game Unless you play it good and right",happily in love,revenge empowerment
StayStayStay,"I'm pretty sure we almost broke up last night I threw my phone across the room, at you I was expecting some dramatic turn away But you stayed This morning, I said we should talk about it 'Cause I read you should never leave a fight unresolved That's when you came in wearing a football helmet And said, ""Okay, let's talk"" And I said Stay, stay, stay I've been loving you for quite some time, time, time You think that it's funny when I'm mad, mad, mad But I think that it's best if we both stay  Before you, I'd only dated self-indulgent takers Who took all of their problems out on me But you carry my groceries and now, I'm always laughing And I love you because you have given me No choice but to  Stay, stay, stay I've been loving you for quite some time, time, time You think that it's funny when I'm mad, mad, mad But I think that it's best if we both stay, stay, stay, stay  You took the time to memorize me My fears, my hopes, and dreams I just like hanging out with you all the time All those times that you didn't leave, it's been occurring to me I'd like to hang out with you for my whole life Stay and I'll be loving you for quite some time No one else is gonna love me when I get mad, mad, mad So I think that it's best if we both stay, stay Stay, stay, stay, stay!  Stay, stay, stay I've been loving you for quite some time, time, time You think that it's funny when I'm mad, mad, mad But I think that it's best if we both stay, stay Stay, stay, stay, stay!  Stay, stay, stay I've been loving you for quite some time, time, time You think that it's funny when I'm mad, mad, mad But I think that it's best if we both stay (Ha-ha-ha, it's so fun)",happily in love,happily in love
TheLastTime,"Find myself at your door Just like all those times before I’m not sure how I got there All roads, they lead me here I imagine you are home In your room, all alone And you open your eyes into mine And everything feels better  And right before your eyes I'm breaking, no past No reasons why Just you and me This is the last time I'm asking you this Put my name at the top of your list This is the last time I'm asking you why You break my heart in the blink of an eye (Eye, eye)  You find yourself at my door Just like all those times before You wear your best apology But I was there to watch you leave And all the times I let you in Just for you to go again Disappear when you come back Everything is better  And right before your eyes I'm aching, run fast Nowhere to hide Just you and me  This is the last time I'm asking you this Put my name at the top of your list This is the last time I'm asking you why You break my heart in the blink of an eye (Eye, eye)  This is the last time you tell me I've got it wrong This is the last time I say it's been you all along This is the last time I let you in my door This is the last time, I won't hurt you anymore Oh-ho, oh-ho, oh-ho, oh-ho Oh-ho, oh-ho, oh-ho, oh-ho This is the last time I'm asking you this Put my name at the top of your list This is the last time I'm asking you why You break my heart in the blink of an eye  This is the last time I'm asking you this (This is the last time I'm asking you this) Put my name at the top of your list (Put my name at the top of your list) This is the last time I'm asking you why (This is the last time I'm asking you why) You break my heart in the blink of an eye (You break my heart) This is the last time I'm asking you, last time I'm asking you Last time I'm asking you this This is the last time I'm asking you, last time I'm asking you Last time I'm asking you this This is the last time I'm asking you, last time I'm asking you Last time I'm asking you this This is the last time I'm asking you, last time I'm asking you Last time I'm asking you this",yearning,broken up
TheLuckyOne,"New to town with a made-up name In the angel's city, chasing fortune and fame And the camera flashes make it look like a dream You had it figured out since you were in school Everybody loves pretty, everybody loves cool So overnight, you look like a sixties queen  Another name goes up in lights Like diamonds in the sky And they’ll tell you now, you’re the lucky one Yeah, they’ll tell you now, you’re the lucky one But can you tell me now, you’re the lucky one? Oh, oh, oh  Now, it’s big black cars and Riviera views And your lover in the foyer doesn’t even know you And your secrets end up splashed on the news front page And they tell you that you’re lucky, but you’re so confused 'Cause you don’t feel pretty, you just feel used And all the young things line up to take your place  Another name goes up in lights You wonder if you’ll make it out alive  And they’ll tell you now, you’re the lucky one Yeah, they’ll tell you now, you’re the lucky one But can you tell me now, you’re the lucky one? Oh, oh, oh  It was a few years later, I showed up here And they still tell the legend of how you disappeared How you took the money and your dignity and got the hell out They say you bought a bunch of land somewhere Chose the rose garden over Madison Square And it took some time, but I understand it now 'Cause now my name is up in lights But I think you got it right  Let me tell you now, you’re the lucky one Let me tell you now, you’re the lucky one Let me tell you now, you’re the lucky one, oh, oh, oh And they’ll tell you now, you’re the lucky one Yeah, they’ll tell you now, you’re the lucky one And they’ll tell you now, you’re the lucky one, oh, oh, oh Oh, whoa, oh, oh",unrelated to love,unrelated to love
TheMomentIKnew,"You should've been there Should've burst through the door With that ""Baby, I'm right here"" smile And it would've felt like A million little shining stars had just aligned And I would've been so happy  Christmas lights glisten I've got my eye on the door Just waiting for you to walk in But the time is ticking People ask me how I've been As I comb back through my memory How you said you'd be here You said you'd be here And it was like slow motion Standing there in my party dress In red lipstick With no one to impress And they're all laughing As I'm looking around the room But there was one thing missing And that was the moment I knew  And the hours pass by Now I just wanna be alone But your close friends always seem to know When there's something really wrong So they follow me down the hall And there in the bathroom I try not to fall apart And the sinking feeling starts As I say hopelessly ""He said he'd be here""  And it was like slow motion Standing there in my party dress In red lipstick With no one to impress And they're all laughing And asking me about you But there was one thing missing (Missing) And that was the moment I knew What do you say When tears are streaming down your face In front of everyone you know? And what do you do When the one who means the most to you Is the one who didn't show?  You should've been here And I would've been so happy  And it was like slow motion Standing there in my party dress In red lipstick With no one to impress And they're all standing around me, singing ""Happy birthday to you"" But there was one thing missing And that was the moment I knew Oh-oh-oh-oh-oh-oh-oh, I knew Oh-oh-oh-oh-oh-oh-oh  You called me later And said, ""I'm sorry I didn't make it"" And I said, ""I'm sorry, too"" And that was the moment I knew",yearning,broken up
Treacherous,"Put your lips close to mine As long as they don't touch Out of focus, eye to eye 'Til the gravity's too much And I'll do anything you say If you say it with your hands And I'd be smart to walk away But you're quicksand  This slope is treacherous This path is reckless This slope is treacherous And I-I-I like it I can't decide if it's a choice Getting swept away I hear the sound of my own voice Asking you to stay And all we are is skin and bone Trained to get along Forever going with the flow But you're friction  This slope is treacherous This path is reckless This slope is treacherous I, I, I like it  Two headlights shine through the sleepless night And I will get you, get you alone Your name has echoed through my mind And I just think you should, think you should know That nothing safe is worth the drive And I would follow you, follow you home I'll follow you, follow you home  This hope is treacherous This daydream is dangerous This hope is treacherous I-I-I, I-I-I, I-I-I Two headlights shine through the sleepless night And I will get you, get you alone Your name has echoed through my mind And I just think you should, think you should know That nothing safe is worth the drive And I would follow you, follow you home I'll follow you, follow you home I'll follow you, follow you home I'll follow you, follow you home  This slope is treacherous I-I-I like it",forbidden love,revenge empowerment
WeAreNeverEverGettingBackTogether,"I remember when we broke up the first time Saying, ""This is it, I've had enough,"" 'cause like We hadn't seen each other in a month When you said you needed space (What?) Then you come around again and say ""Baby, I miss you and I swear I'm gonna change, trust me"" Remember how that lasted for a day? I say, ""I hate you,"" we break up, you call me, ""I love you""  Ooh-ooh-ooh-ooh-ooh We called it off again last night, but Ooh-ooh-ooh-ooh-ooh This time, I'm telling you, I'm telling you We are never, ever, ever getting back together We are never, ever, ever getting back together You go talk to your friends, talk to my friends, talk to me But we are never, ever, ever, ever getting back together Like, ever  I'm really gonna miss you picking fights And me falling for it, screaming that I'm right And you would hide away and find your peace of mind With some indie record that's much cooler than mine  Ooh-ooh-ooh-ooh-ooh You called me up again tonight, but Ooh-ooh-ooh-ooh-ooh This time, I'm telling you, I'm telling you  We (We) are never, ever, ever getting back together We are never, ever, ever getting back together You go talk to your friends, talk to my friends, talk to me (Talk to me) But we are never, ever, ever, ever getting back together  Ooh-ooh-ooh-ooh-ooh (Yeah) Ooh-ooh-ooh-ooh-ooh-ooh (Yeah) Ooh-ooh-ooh-ooh-ooh (Yeah) Oh-oh-oh I used to think that we were forever, ever And I used to say, ""Never say never"" Ugh, so he calls me up and he's like, ""I still love you"" And I'm like, ""I just, I mean, this is exhausting, you know? Like, we are never getting back together, like, ever""  (No) We are never, ever, ever getting back together We are never, ever, ever (Ooh) getting back together You go talk to your friends, talk to my friends, talk to me But we are never, ever, ever, ever getting back together  We (Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh, no) Getting back together We (Ooh-ooh-ooh-ooh-ooh, oh, oh) Getting back together (Yeah) You go talk to your friends, talk to my friends, talk to me (Talk to me) But we are never, ever, ever, ever getting back together",broken up,broken up
Afterglow,"I blew things out of proportion, now you're blue Put you in jail for something you didn’t do I pinned your hands behind your back, oh Thought I had reason to attack, but no  Fighting with a true love is boxing with no gloves Chemistry 'til it blows up, 'til there’s no us Why'd I have to break what I love so much? It's on your face, and I'm to blame, I need to say Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant Sorry that I hurt you I don't wanna do, I don’t wanna do this to you (Ooh) I don’t wanna lose, I don't wanna lose this with you (Ooh) I need to say, hey, it’s all me, just don't go Meet me in the afterglow  It's so excruciating to see you low Just wanna lift you up and not let you go This ultraviolet morning light below Tells me this love is worth the fight, oh  I lived like an island, punished you with silence Went off like sirens, just crying Why'd I have to break what I love so much? It’s on your face, don't walk away, I need to say  Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant I'm sorry that I hurt you I don't wanna do, I don't wanna do this to you (Ooh) I don't wanna lose, I don't wanna lose this with you (Ooh) I need to say, hey, it's all me, just don't go Meet me in the afterglow Tell me that you're still mine Tell me that we'll be just fine Even when I lose my mind I need to say Tell me that it's not my fault Tell me that I'm all you want Even when I break your heart I need to say  Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant Sorry that I hurt you I don't wanna do, I don't wanna do this to you (Ooh) I don't wanna lose, I don't wanna lose this with you (Ooh) I need to say, hey, it's all me, just don't go Meet me in the afterglow",forbidden love,yearning
CorneliaStreet,"We were in the backseat Drunk on something stronger than the drinks in the bar ""I rent a place on Cornelia Street"" I say casually in the car We were a fresh page on the desk Filling in the blanks as we go As if the street lights pointed in an arrow head Leading us home  And I hope I never lose you, hope it never ends I'd never walk Cornelia Street again That's the kinda heartbreak time could never mend I'd never walk Cornelia Street again And baby, I get mystified by how this city screams your name And baby, I'm so terrified of if you ever walk away I'd never walk Cornelia Street again I'd never walk Cornelia Street again Windows flung right open, autumn air Jacket 'round my shoulders is yours We bless the rains on Cornelia Street Memorize the creaks in the floor Back when we were card sharks, playing games I thought you were leading me on I packed my bags, left Cornelia Street Before you even knew I was gone  But then you called, showed your hand I turned around before I hit the tunnel Sat on the roof, you and I  I hope I never lose you, hope it never ends I'd never walk Cornelia Street again That's the kinda heartbreak time could never mend I'd never walk Cornelia Street again And baby, I get mystified by how this city screams your name (City screams your name) And baby, I'm so terrified of if you ever walk away I'd never walk Cornelia Street again I'd never walk Cornelia Street again You hold my hand on the street Walk me back to that apartment Years ago, we were just inside Barefoot in the kitchen Sacred new beginnings That became my religion, listen I hope I never lose you I'd never walk Cornelia Street again Oh, never again And baby, I get mystified by how this city screams your name (City screams your name) And baby, I'm so terrified of if you ever walk away I'd never walk Cornelia Street again I'd never walk Cornelia Street again  I don't wanna lose you (Hope it never ends) I'd never walk Cornelia Street again I don't wanna lose you (Yeah)  ""I rent a place on Cornelia Street"" I say casually in the car",happily in love,yearning
